Award Type,Opportunity Type,Program Title,Program Description,Posted Date,Proposal Deadline,Program Link
,Program,Infrastructure Systems and People (ISP) | PD 25-342Y,"Supports fundamental research on the design, optimization, sustainability and resilience of infrastructure systems during normal operation and extreme events, such as natural hazards, to serve community needs.","January 24, 2025",Full Proposal Accepted Anytime,https://www.nsf.gov/funding/opportunities/isp-infrastructure-systems-people
Standard Grant,Program,Launching Early-Career Academic Pathways in the Mathematical and Physical Sciences | NSF 25-535,Supports the research in mathematical and physical sciences of pre-tenure faculty at institutions with historically lower levels of NSF funding and their efforts to prepare students for 21st century STEM workforce.,"March 30, 2005","Full Proposal Deadline:
April 17, 2025
Additional upcoming deadlines",https://www.nsf.gov/funding/opportunities/launching-early-career-academic-pathways-mathematical
Standard Grant,Program,Strengthening American Infrastructure (SAI) | NSF 25-534,"Supports interdisciplinary, human-centered and use-inspired fundamental research to improve the design, development, sustainability and societal impact of equitable and resilient infrastructure across various domains.","January 15, 2025","Full Proposal Deadline:
April 17, 2025",https://www.nsf.gov/funding/opportunities/sai-strengthening-american-infrastructure
"Standard Grant
Continuing Grant
Cooperative Agreement",Program,Findable Accessible Interoperable Reusable Open Science (FAIROS) | NSF 25-533,,"January 6, 2025","Full Proposal Deadline:
April 9, 2025",https://www.nsf.gov/funding/opportunities/fairos-findable-accessible-interoperable-reusable-open-science
Cooperative Agreement,Program,Materials Research Science and Engineering Centers (MRSEC) | NSF 25-532,"Supports interdisciplinary centers that advance materials research, foster collaboration, promote education and participation in STEM and strengthen the U.S. research infrastructure through shared facilities and outreach initiatives.","December 14, 2012","Preliminary Proposal Deadline:
June 23, 2025
Preliminary proposal required
Additional upcoming deadlines",https://www.nsf.gov/funding/opportunities/mrsec-materials-research-science-engineering-centers
"Standard Grant
Continuing Grant",Program,Cybersecurity Innovation for Cyberinfrastructure (CICI) | NSF 25-531,,"May 20, 2013","Full Proposal Deadline:
April 2, 2025
Additional upcoming deadlines",https://www.nsf.gov/funding/opportunities/cici-cybersecurity-innovation-cyberinfrastructure
,Dear Colleague Letter,Proposals for the Future of Designing Accountable Software Systems (DASS) | NSF 25-026,,"January 2, 2025",See letter for details,https://www.nsf.gov/funding/opportunities/dcl-proposals-future-designing-accountable-software-systems-dass
"Standard Grant
Continuing Grant",Program,Collaborations in Artificial Intelligence and Geosciences (CAIG) | NSF 25-530,"Supports interdisciplinary projects that leverage AI to address geoscience challenges, fostering collaboration between experts to advance Earth system understanding and workforce development.","January 2, 2025","Full Proposal Deadline:
April 2, 2025
Additional upcoming deadlines",https://www.nsf.gov/funding/opportunities/caig-collaborations-artificial-intelligence-geosciences
"Standard Grant
Continuing Grant",Dear Colleague Letter,Supporting Secondary STEM Educator Preparation at TCUP Institutions | NSF 25-024,"Encourages proposals from TCUP-eligible institutions to establish new or enhance existing secondary STEM teacher preparation degrees with up-to-date curricula, faculty resources and technology to advance STEM education for Tribal and Native communities.","December 31, 2024",See letter for details,https://www.nsf.gov/funding/opportunities/dcl-supporting-secondary-stem-educator-preparation-tcup
Standard Grant,Program,NSF/CASIS Transport Phenomena Research at the International Space Station to Benefit Life on Earth | NSF 25-529,"Supports research using the unique microgravity environment of the International Space Station to improve understanding and innovation in transport phenomena, nanoscale interactions and related manufacturing processes for benefiting life on Earth.","December 31, 2024","Full Proposal Deadline:
April 10, 2025",https://www.nsf.gov/funding/opportunities/nsfcasis-transport-phenomena-research-international-space
,Dear Colleague Letter,Amplifying STEM Education Investments in and with Rural and Remote Areas and Communities | NSF 25-023,,"December 20, 2024",See letter for details,https://www.nsf.gov/funding/opportunities/dcl-amplifying-stem-education-investments-rural-remote-areas
"Standard Grant
Continuing Grant",Program,Translation and Diffusion (TD) | NSF 25-528,Supports projects that identify and address issues involved in translating research into PreK-12 STEM classroom practices as well as projects that leverage insights from educational practice to drive fundamental research.,"December 20, 2024","Full Proposal Deadline:
April 1, 2025
Additional upcoming deadlines",https://www.nsf.gov/funding/opportunities/td-translation-diffusion
